package_name,path,role,exists,apparent_bytes,apparent_gib,file_count,extensions,native_files_present,top_level_entries
_quarantine_outside_detected_sources,/users/e/p/epsilon/Data/Data/harris_county/catalogs/static/_quarantine_outside_detected_sources,Quarantined material; not an active runtime source,True,2273555,0.002,2,.man:1; .json:1,,_quarantine_duplicate_manning_20260622_170957_moved_out_20260622_171347
harris_county,/users/e/p/epsilon/Data/Data/harris_county/catalogs/static/harris_county,Current source-oriented static catalog for Manual/HydroMT-style model construction,True,22846190910,21.277,153,.csv:54; <no_extension>:23; .md:21; .txt:8; .json:4; .sbx:4; .shx:4; .prj:4; .sbn:4; .shp:4; .dbf:4; .tif:3; .xml:3; .cpg:3; .gpkg:3; .vrt:1; .bak:1; .img:1; .ige:1; .rrd:1; .rde:1; .docx:1,,README.md; README_harris_county.txt; _audit; _manifests; _notes; bathy; boundary_points_static; curve_number; dem; grid_template; infiltration; landcover; manning_reclass_table; mask; obs_lines_static; obs_points_static; open_boundary_outlines; region_geom; roughness; scs_infiltration; source_points_static; static_metadata; structures_drainage; structures_levees; structures_thin_dams; structures_weirs; subgrid; topobathy; vertical_datum_notes
harris_county_ppp,/users/e/p/epsilon/Data/Data/harris_county/catalogs/static/harris_county_ppp,Older/reference native SFINCS static package,True,2156436975,2.008,74,.tif:8; .png:7; .geojson:6; .cpg:5; .shx:5; .dbf:5; .shp:5; .prj:5; .csv:5; .xml:3; .ovr:3; .md:3; .src:1; .thd:1; .sbg:1; .obs:1; .dep:1; .scs:1; .msk:1; .txt:1; .log:1; .crs:1; .bnd:1; .ind:1; .manning:1; .db:1,sfincs.dep; sfincs.ind; sfincs.manning; sfincs.msk; sfincs.sbg; sfincs.scs; sfincs.thd,README_harris_county_ppp.txt; figs; gis; hydromt.log; sfincs.bnd; sfincs.crs; sfincs.dep; sfincs.ind; sfincs.manning; sfincs.msk; sfincs.obs; sfincs.sbg; sfincs.scs; sfincs.src; sfincs.thd; subgrid; template_audit
harris_county_ppp_latest,/users/e/p/epsilon/Data/Data/harris_county/catalogs/static/harris_county_ppp_latest,Current trusted native SFINCS static package for Override/Hybrid workflows,True,3596741601,3.350,30,.tif:12; .geojson:4; .thd:2; .nc:2; .dep:2; .scs:2; .msk:2; .ind:2; .manning:2,sfincs.dep; sfincs.ind; sfincs.manning; sfincs.msk; sfincs.scs; sfincs.thd; sfincs_subgrid.nc,_misc; gis; sfincs.dep; sfincs.ind; sfincs.manning; sfincs.msk; sfincs.scs; sfincs.thd; sfincs_subgrid.nc; subgrid
